sticker_id,labeled_queries
1001242763158618196.png,"Thumbs up, Good job, thumbs up, good, very nice, stupid face thumbs up"
1006523975204864007.png,"wtf, shocked, thinking hard, mindblown, thinking very hard, let me think, thinking, thinking deeply, spiraling"
1011944004889085707.png,"go to bed, ermit the frog sleeps, puppet frog goes to bed, give up, Boring, Sleeping, On bed, With landed light"
1017943490086044330.png,"laugh laugh, laugh tears of joy, pikachu tears of joy, pickachu, laugh die, pokemon, funny, Unbelievable"
1017943490086044331.png,"ahhh, i want, crazy in love, madly in love, i want i want, 😍, thirsty, chasing after love, mad in love, pikachu mad in love"
1017943490086044334.png,"yipee!, pokemon running, going off!, on the way, yay!, so happy!, so excited!, running off, otw, lets do this, lets go"
1017943490086044335.png,"pikachu derp, biting jaw, over bite, derp face"
1017943490086044336.png,"yess!, oh yes hand, hands in fist yes, you got it, lets do it, naisu, pikachu, oh yeah, i got this, confident, i can do this, determined"
1017943490086044338.png,"hands over chest, hmph, thats me alright, confident, pikachu, cool pikachu, hands across chest, confident man, fierce pikachu, not scared"
1017943490086044339.png,"pikachu cry, left out"
1017943490086044340.png,"oh noooooo, yessss, hands in air but crying, nooooooo, pokemon, oh my godddd, Cry, Pokemon, Pikachu, Whyyy, Really sad"
1017943490086044341.png,"Arghhhhh, Time to show my power, Best attack, Angry, zzzzzz, strike you, thunder bolt from cheeks, scare you, go away, scurry, go, leave this place!, >:o"
1017943490086044342.png,"pokemon investigator, who is this?, whats this?, what this?, investigate, peeking, pikachu, detective pikachu, pikachu detective, i can see you"
1017943490086044343.png,"muahahahaha, evil pokemon laughter, C:, c:<, planning something, mischievous, wiping hands together, evil pikachu"
1017943490086044344.png,"Detective pikachu, investigator, investigate, let me take a look, let me see closer, are you sure, i will check you out, detective pikachu, detective"
1017943490086044345.png,"thumbs up in the air, pokemon smiling with eyes closed, thank you!, ear swaying to the side, Thumb up, Ok, Good, Nice, Pikachu"
1017943490086044346.png,"kiss kiss, heart, love you, hehhe, ❤️"
1017943490086044347.png,"snarky, shifty eyes, ok sign, pikachu ok, 😏, ok, pokemon, detective, hat, confident"
1017943490086044348.png,"right?, :o, mouth open wide eyes big, pikachu, shocked pikachu face, shocked pikachu face cartoon version"
1017943490086044349.png,"nawww, i feel so bad, feeling down, feeling upset, nanguo, 难过, :(, upset, sad pikachu, down, ears drooping"
1017943490086044350.png,"pikachu, lightning, what??, huh?, no way!, heheheheehhe, up to no good, evil smile, mischevious smile, evil laughter, muahahahaha, >:3"
1017943490086044351.png,"Drink coffee, Pikachu, Need to ot, alcoholic detective pikachu, tired pikachu, tired detective pikachu holding cups"
1017943490086044352.png,"pikachu, lying down, pondering, sigh, Despair, What should i do, Lie down think"
1017943490086044354.png,"tearing face, blehhhhh, sticking out tongue, pikachu, making funny face, pulling face, pikachu making funny face, :p, whacky face"
1043703381077524694.png,"thumbs up bro, thumbs up doge, doge thumbs up, gud"
1043703381077524696.png,"hiding behind, peekabo, hehhee, big eyes, hello, peekaboo, its me, im here, did i hear something"
1043703381077524705.png,"smug, smirk, dog, side eye"
1043703381077524709.png,"throw up blood, vomit blood, coughing blood"
1043703381077524716.png,"begging, big eye, cute eye, dog, puppy eye, bling bling, puppy eyes, pleaase?, pleaseee, please, potential, maybe?, is it possible?, hopeful, really?"
1043703381077524727.png,"diu, toh, dog, sian, drawing in the sand, stick, sigh, hopeless, doggo no hope"
1043703381077524731.png,"urgh, this sucks, wait damn long, laying down, still waiting, sian, annoyed, so tired"
1043703381077524734.png,"sigh, showing back, back faced to us, hands behind back, doge sigh, hais"
1043703381077524737.png,"smoking, dog, corner, corner smoking, urgh, so done with life"
1043703381077524740.png,"picking nose, dog, digging nose, what do you mean"
1043703381077524802.png,"no fear, tired dog, dog on chair, exhausted dog on chair"
1052321353216032834.gif,"hahahaha, lmao, lmfao, lol, laugh out loud, cry laugh, ahahahahaa, unicorn laugh till cry, HA HA HA, HAHAHA"
105996717668698236.png,"thankful, happiness, excitement, shark, thank you!, thanks, good to know, happy, thank you, thank you~"
1102348238926643205.png,"spongebob dead eyes, grrrrr, bite lips, annoyed, frustrated, annoyance, spongebob, zzz, emotionless"
1111394900340899959.png,"fr?, show double chin, disbelief, no way real, for real?, whut?, whuttttt?, bubble head lean back, bubble head kneeling"
1126736944429007053.png,"hiding in the corner, shy, dont see me, hide, Want to be alone, Beside the wall, Cat, Only back"
1149383731455197345.png,"must be you, lets do it, this is the only way!, lets go!, lets go, pointing far, pointing to the abyss, go on, go go go"
1187021629381674816.png,"hmmm, HMMMM, thinking, let me think, hmm, 🤔"
1194073003609032120.png,"mantap, thumbs up face, you good, dumb thumbs up, man thumbs up, good, gud, thats good, dumb face thumbs up"
1196171713608417575.png,"heart, damn, amazing, wow, this is my heart, show you my heart"
1206811657565634869.gif,"pointing laughing, hahahahah, you're so funny, you're a loser, laughing at you, laughing, hahahaha, pointing at you and laughing, lololol, all laughing at you"
1220028319907447048.gif,"hahaha, lmao, teddy bear, falling down, rofl, damn funny, laughing uncontrollably"
1220028319907447335.gif,"laile, coming, wait for me, motorcycle, riding bike, weeee"
1220028319907447341.gif,"yay, happy happy, dancing pig, walking walking, happy"
1220028319907447342.gif,"fight, urgh, annoying, tackle, bickering, irritating, squabble"
1220028319907447445.gif,"hehehehe, laughing, cover mouth laughing, rabbit duck, hahaha, cheeky, lol, hehehe"
1220028319907447447.gif,"good, bunny chicken, cheer, happy, celebrate, joyful, jumping around happy"
1220028319907447599.gif,"peace, two, hey, sup, cool, peace sign, waving peace sign, cheese"
1220028319907447600.gif,"drawing on paper, busy writing, writing, rushing writing, furiously writing, dragon drawing lines on paper"
1220028319907447601.gif,"yellow dinosaur thumbs up, mmh mmh yes yes, good idea, good, nice, thumbs up, nodding thumbs up, thats right, you got it, ok ok can, thumbs up nodding, nailong thumbs up nod, uhhuh ok"
1220028319907448459.gif,"sad, tears, begging, deppressed, yellow, bird, cute, crying, yellow bird crying, sad bird, crying into a bowl"
1220028319907449861.gif,"sad, super sad, cry a lot, so sad, crying head down, bend over crying, kneeling in my own tears, sad max, wuwu, 😭"
1220028319907449980.gif,"Nani, Bang wall, Arghhh, How can like that, Hit the wall, Angel, I cant believe it, I want to blame myself"
1220028319907449981.gif,"bye bye, waving, hello~, dinosaur yellow waving, Bye bye, See you, Come on, Let go, Angel"
1220028319907449984.gif,"cry wave, dinosaur cry wave, dinosaur crying, so sad, sad max, :(, sad wave, sad sad sad, non stop sadness, continuous sadness, wave of sadness"
1220028319907449987.gif,"Dinosaur laughing, Laughing so hard, Hand hit on floor, hit hand on floor laughing, hahahahaha, laugh so hard stomach hurts, yellow dinosaur"
1249949699201302698.png,"sad, duck, wuwu, wuwuwu, sad duck, sobs"
1269403972611866902.gif,"WHATTT, in shock, WAT, shocked, drop what im doing, what?, WHAT, horrified, 😱"
1269403972611866955.gif,"thumbs up bubble, thumbs up dog, exploding thumbs up, thumbs up, ok, thumbs up burst, big thumbs up"
1269403972611866957.gif,"laughing, belly laughing, rhino lol, rhinosaurus laugh out loud, lmao max, laugh until belly hurts, hahahaha"
1269403972611866963.gif,"ugh whatever, spitting on ground, 吐舌头, digust, sick, tired, spit"
1269403972611867031.gif,"sus, thumbs up, bouncing with thumbs up, sus big thumbs up, good good, nice, awesome, body scanner ok thumbs up, body scanner thumbs up"
127870805718598328.png,"cry, no luck, waste time, cat, tearing"
1307127503596290066.png,"Hehehehe, See i so cute, Wearing red, Two ponytails, Smile smile, korean baby two ponytails, flowery red shirt"
1307127503596290082.png,"hehehhe, korean baby, im a pro, yada, baby wearing shades, cool korean baby, c:, cool beans, cool, two pony tails korean baby, feeling cool, dope, shades korean baby"
1307127503596290088.png,"heheh, smiley face, yay, :), smiling with eyes closed, chubby cheeks, smiling in the sun, happy, at peace, korean baby"
1307127503596290089.png,"Eat finish, 没擦干净, Eat until shiok shiok, Korean baby, 贪吃, glutton, just ate, eating messy face baby"
1307127503596290093.png,"aiyo, aigooooo, awwww, :ooooo, /___\, korean baby, :3, baby wah, woahhhhh"
1307127503596290099.png,"Apply stuck in nose, apple in nostrils"
1307127503596290114.png,"laying hands back, you pro lol, you zai lol, say so much for what, you lol, chilling, lying on my back, zen, whats up, relax bro, you good"
1307127503596290146.png,":D, blushing cheeks, smiling, kpop baby, korean baby, smiling face, its ok, heheeheheh, show teeth korean baby smile"
1307127503596290179.png,"Vegetable at the back, Hehehehehe, Big smile"
1352098594324217913.png,"jio, kick you, kick fly, 给你一jio, lets go!"
1360886329340072538.gif,":3, shivering while thinking, scared, shivering, then how?, sweating and shivering, bugcat capoo butthole mouth, nervous bugcat capoo, sweating"
1360886329340072541.gif,"capoo, body wave, bug cat, wiggly cat, dancing cat, waving"
1360886329340072542.gif,"hehehehe, small dot eyes, blur, clueless, lost, thinking, bugcat capoo holding phone laughhing"
1360886329340072544.gif,"yes~, haiya~, nodding, /__\, bowing, cug bat, capoo, /U\, :3, relax~"
1360886329340072557.gif,"thinking, handsome man thinking, capoo, bug cat, handsome bugcat capoo, bugcat capoo eh eh?, raise eyebrows smirk"
1360886329340072563.gif,"sweating in fear, nervous, worried, anxious, capoo, bug cat, :'3"
1360886329340072745.gif,"wiggling cat bug, happy cat, excited cat"
1360886329340072757.gif,"huh, shivering in fear, nervous, anxious, bug cat, capoo, mouth square capoo, oh no, worried, scared, frightened, how how?, what to do?, eyes turning white"
1360886329340072762.gif,"crying, sad, emo, left out, bugcat capoo, cri, cry, regret, my bad, teary eyed"
1360886329340073259.gif,"bugcat, capoo, twist, peace, proud, flex, wink, thats right, awesome~"
1360886329340073282.gif,"crying, thumbs up, cat, Yupp, Thats right, Cries, Tumbs up"
1360886329340073288.gif,"OH YEAHHHH, im feeling great, THIS IS GREAT, awesome, hands up, im so happy, so happy making face, Hands up, Thumbs up"
1360886329340073290.gif,"whatever, screw you, i hate you, go away, urgh, roll eyes, Blehhhhhhhh"
1360886329340073292.gif,"dig nose, hmmmm, judging"
1360886329340073302.gif,"cry, tears of joy, cat, Mouth big, Cries"
1391391008142393345.gif,"roll back laughing, wahahahahah, hahahaha, laughing, laugh until cry, HAHAHAHA, cherry ROFL, LOL, LMAO, GAGAHAHA"
1391391008142393347.gif,"frightened, scared, shiver in fear"
1391391008142393351.gif,"uwu, qwq, so sad, quivering, hands holding knees quivering, hands wrapped around knees"
1391391008142393358.gif,"sad, cry max, tears down my face, wuwuw, ww, cry, so sad, :("
1391391008142393363.gif,"yay, bouncing, happy, excited cherry, yippee, YAS, HEHE YES, YES, I WANT, NICE"
1391391008142393365.gif,"ok, thumbs up cherry, thumbs up, cherry, thumbs"
1391391008142393366.gif,"hehehehehe, big smile, BIG smile, :D, cherry BIG grin, smiling with teeth"
1391391008142393460.gif,"angry, done with life, joke, hmph, Joke, Clown"
1405493022157701125.gif,"dancing, meh, dancing frog, pepe, frog pepe dance"
142433042659541077.png,"Melody, Covers face, No eyes to see, melody, ashamed, upset, hands over face"
1432705458203787329.png,"tired anime girl, girl yawning, girl in pajamas, yawning, sleepy"
1471004892762996804.gif,"sliding downwards, urgh, i'm fine but not really, this sucks, feeling down, im fine (not really), sliding down stairs, urghhhhh"
1473773587595788332.png,"Fingers together, Hope hope, In PJs, On bed, duck hesistant, ermmmm goodnight, blush"
1494180970083909685.gif,"yayyyyy!!!, wowzies, sparkles, amazing!, bling eyes, awesome!, puppy excited"
1494180970083909716.gif,"wagging tail, take out knife, kill you, stab you, dont make me hurt you, stealth attack, attach when you dont notice, devious dog, imma stab you, knife you, whack you, threatening, peaceful threaten, turning face"
1494180970083909751.gif,"hahahaha, lmao, lmfao, lol, crying laughing, hahaha"
1527139887688450744.png,"brilliant idea, bingo, exactly, guessed it, you are right, bang, bang!, shoot you, point at you, finger gun, thats you, looking for you, you"
1556835416127045699.gif,"bleh bleh bleh, making ghost face, you can't fight me, you are the worst, i hate you, bleh, neninenipoopoo, ghost face, spitting, party hat"
1569031431030571585.png,"look up at sky, gritted teeth, Ugly anime, Teeth clenching, Eyes wide open, Guy"
1569031431030574524.png,"hahahaha, hugging tummy laughing, laughing shiba, shiba XD face, >.<"
1569031431030578602.png,"gigachad, strong anime character, ripped, strong, stronk girl, fight you, muscular, im ready to fight you, buff max"
1592756632805185994.gif,"zeh zeh zeh, oh yeah, wear glasses damn cool, disco vibes, im the winner, winner is me, disco bald guy, wear shades, cool, zeh zeh, disco lights, feeling good"
1592756632805186008.gif,"smile, sneaky smile, claps, clapping hands, sideeyes, clap, clapping hands together, yay, thank you, awesome, nice, hehe, bald guy blushy face clapping, hairless clapping"
1592756632805186042.png,"cry max, duck crying, so sad, sad :(, nanguo, sad duck, disappointed duck, duck with tears in eyes, tears in eyes, looking down"
1592756632805186050.png,"angry, im upset, how can you do this, sip tea, he!, upset, frowning, 哼!, annoyed, frustrated, frustrated duck, upset duck, duck upset frowning"
1592756632805186051.png,"Smirk, Hehehe, Hands cover mouth, Duck, teehee shake shake, sneaky duck giggles, giggle teehee, silent giggles duck"
1592756632805186062.png,"question mark, ???, playing on phone, huh?, confused, annoyed, what?"
1592756632805186118.gif,"scratch myself, scratch armpit, scratching, frustrated, addicted"
1592756632805186122.gif,"nail file, side eye, file nails"
1592756632805186585.png,"drink beer, unbelievable, for real??, insane, madness, drink my sorrows, tears streaming down my face, upset"
1630841254575079609.gif,"bang bang bang, tututu, gunshots, lets do this!!!, do it!, fight you, shooting"
1630841254575079611.gif,"Positive reinforcement, Looking at mirror, I’m the best, I’m the cutest"
1630841254575079632.gif,"???, huh?, confused, im lost, blur max, clueless?"
1630841254575079641.gif,"hahaha, lmao, lol, hahahaha, lying on sofa laughing, throw back head laughing, throw back head sofa laughing"
1630841254575079651.gif,"angry, chinese, pressing chicken, squishy chicken, cannot wait, faster, hurry up, mad"
1630841254575079656.gif,"hahahahah, throw head back laughing, lmao, lmfao, hahahaha, lol, laughing with my head back, bald boy"
1630841254575080004.gif,"shaking side to side, chicken shaking side to side, yadayadayada, chicken dancing with helmet, excited, super fun, yay, happy"
1630841254575080023.gif,"sword, angry, running, running with knife, determined blob, running blob"
1630841254575080060.gif,"muak!, mua, blow u kisses, give u kisses, MUA!, thank u, love u, aini, blow kisses"
164681291080400937.png,"heart, bixin, hand heart, love u, thank you, hands heart, big heart, heart over head, love you, ❤️, hands over head"
170087581164242210.png,"relax, ohhhh, laying down, chill, zen, dont move, not moving, staying very still, like a corpse"
1743031929264930892.png,"lee hsien loong, pap, how can, ??"
1768789062887407670.png,"Cat, With rope on neck, Looking up, White and black colour cat, sexy cat, attractive cat, seduce cat"
