sticker_id,labeled_queries
1017943490086044336.png,看看
1043703381077524694.png,"你说得对, 我赞同, 点赞, nice, 👍, 狗, 很棒"
1043703381077524696.png,"嘿嘿, 观察, 怎么了, 探头, 柴犬, 偷看, 在吗"
1043703381077524705.png,"拽, 瞧不起, 看不起, 酷, 斜眼, 叹气, 无语"
1043703381077524709.png,"吐血, 无语, 炸裂, 过分"
1043703381077524716.png,"期待, 乖巧, 开心, 好耶"
1043703381077524727.png,"画个圈圈诅咒你, 低落, 柴犬抱膝, 无语, 暗戳戳, 悲伤"
1043703381077524731.png,"葛优躺, 柴犬, 靠墙, 不行了, 躺平, 休息下"
1043703381077524734.png,"叹气, 😮‍💨, 感叹"
1043703381077524737.png,"抽根烟, 你认真的？, 靠墙, 思考人生, 抽烟, 黑眼圈, 角落叹气"
1043703381077524740.png,"鄙视, 无语, 抠鼻屎, 狗"
1043703381077524802.png,休息
105996717668698236.png,"开心, 微笑, 感恩, 说谎"
1102348238926643205.png,"海绵宝宝, 困, 疲惫"
1149383731455197345.png,"就是你, 冲啊, 走吧, 目标"
1196171713608417575.png,"比心, 爱心"
1220028319907447048.gif,"哈哈大笑, 笑倒, 嘻嘻"
1220028319907447335.gif,"来了, 在路上, 嘿嘿, 马上到"
1220028319907447341.gif,"嘻嘻, 小猪, 开心, 猪猪, happy, 高兴, 玩耍, 嘿嘿"
1220028319907447342.gif,"打闹, 不喜欢, 讨厌, 打架, 闹"
1220028319907447445.gif,"嘻嘻, 微笑, 开心, 大家一起笑, 哈哈, 兔子, 小鸡, 笑"
1220028319907447447.gif,"GOOD, 好棒, 赞, 厉害, 可以的, 蹦蹦跳跳, good, 超棒, 真赞"
1220028319907449861.gif,"哭, 难过, 伤心, 呜呜, 大哭, 少女"
1249949699201302698.png,"汗流浃背, 难过, 猥琐, 鸭子, 哭泣"
1269403972611866963.gif,"吐舌头, 讨厌你, 不喜欢你, 略略略, 哼"
1352098594324217913.png,"给你一jio, 下次约你, 改次一起, 白色小熊, 踢"
1360886329340072541.gif,"体波, 貓貓蟲咖波, 耶, 弹弹, 蓝色猫咪, 快乐, 晃动"
1360886329340072745.gif,"贴贴, 好耶, 你最好了, 爱你, 蓝色猫咪, 哈哈大笑, 倒地大小, 捧腹大笑"
1360886329340072762.gif,"委屈巴巴, 可怜, 不会吧, 救救我, 难过, 伤心, 貓貓蟲咖波, 呜呜, 哭泣, 委屈"
1360886329340073259.gif,"亲亲, 么么哒, 耶, v手, ;3"
1360886329340073282.gif,"棒棒的, 竖拇指, 好的, 赞, 感动哭, 真棒, 无语凝噎"
1360886329340073288.gif,"开心, 振臂高呼, 加油, 耶！, 终于搞定啦！, 我解放啦！"
1360886329340073290.gif,"震惊, 难受, 你打我呀, 弹舌挑衅, 嘿嘿嘿"
1360886329340073292.gif,"抠鼻屎, 颤抖"
